WELL_NAME,RESERVOIR,RESERVOIR_TYPE,WELL_TYPE,PRODUCTION_BEHAVIOR,GOR_TREND,WATERCUT_TREND,PI_TREND
Well_#1,KEMA,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
Well_#10,KEMA,Saturated,GL,Unsteady,bSolGOR,Combo,Flat
Well_#11,ACHI,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
Well_#12,ACHI,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
Well_#13,ACHI,Saturated,GL,Unsteady,bSolGOR,Combo,Combo
Well_#14,DEPU,Saturated,GL,Steady,bSolGOR,Combo,Combo
Well_#15,KEMA,Saturated,GL,Unsteady,bSolGOR,Combo,Decr
Well_#16,KEMA,Saturated,GL,Unsteady,bSolGOR,Combo,Combo
Well_#17,ACHI,Saturated,GL,Unsteady,bSolGOR,Combo,Combo
Well_#18,ACHI,Saturated,GL,Unsteady,bSolGOR,Combo,Combo
Well_#19,KEMA,Saturated,GL,Steady,bSolGOR,Incr,Flat
Well_#2,KEMA,Saturated,GL,Unsteady,Combo,Incr,Combo
Well_#20,DEPU,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
Well_#3,KEMA,Saturated,GL,Unsteady,bSolGOR,Combo,Combo
Well_#4,ACHI,Saturated,GL,Unsteady,bSolGOR,Combo,Combo
Well_#5,KEMA,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
Well_#6,KEMA,Saturated,GL,Unsteady,Combo,Flat,Combo
Well_#7,KEMA,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
Well_#8,ACHI,Saturated,GL,Unsteady,bSolGOR,Combo,Decr
Well_#9,ACHI,Saturated,GL,Unsteady,bSolGOR,Incr,Combo
